Model parameters used:
country, #general beds, #critical beds, controls start, controls end, R reduction during intervention, R reduction after intervention
Ecuador,36412,1050,2020-03-13,2020-08-15,0%,100%

Model output:
date,est. current infections,est. deaths,est. hospital bed usage,est. critical bed usage
2020-03-11,2.694901553213277,0.00015228025116418035,0.04774828302537459,0.005727622474159755
2020-03-12,3.207340718331495,0.0002651756003293228,0.06466592070173985,0.008970389671712287
2020-03-13,3.841520297827108,0.0004299914072607788,0.08398728132000012,0.013311219920018753
2020-03-14,4.628456034269191,0.0006584284498458851,0.1059436200549211,0.018895843206081703
2020-03-15,5.605611249395927,0.000961738675463402,0.13093689299794556,0.025863897518057337
2020-03-16,6.820585797073071,0.0013507090511284802,0.15955202647991434,0.034366449694814886
2020-03-17,8.337287672153993,0.001836173724645872,0.19258522901294067,0.04458859573106801
2020-03-18,10.232614090277611,0.0024299965977878125,0.2310931181218754,0.05677637000996137
2020-03-19,12.595019954365183,0.003146455504705799,0.27644483023186145,0.07126185991586435
2020-03-20,15.536191234836812,0.004003818866894836,0.3303742578998918,0.0884856162908238
2020-03-21,19.18798226094821,0.005025985079292316,0.3950505399869511,0.10902194890300072
2020-03-22,23.705448061890586,0.006244202234812445,0.4731557972951283,0.13360447405396292
2020-03-23,29.274805776656002,0.007698853503194235,0.5679706464181312,0.16315261888800256
2020-03-24,36.152900935105684,0.009441312302223087,0.68348645932587,0.198804966812171
2020-03-25,44.43124597657241,0.011536089392870867,0.8245885137942278,0.24197244311244567
2020-03-26,53.58675109062088,0.014063104095197912,0.9965616153773756,0.2941990707462533
2020-03-27,64.04247510299061,0.017114397641216486,1.2038659438657355,0.35681431921148776
2020-03-28,77.52996091195175,0.020784875123273622,1.451498554495737,0.4313168813566026
2020-03-29,95.15113976954854,0.025178095901513306,1.7482289370383726,0.5202917334692829
2020-03-30,117.75216694125231,0.030433006782947414,2.107614064009416,0.6277041169700528
2020-03-31,146.54041462812157,0.03674963704199835,2.547964432484164,0.7589012839053636
2020-04-01,182.79198168733026,0.04440604287458216,3.0927220617566755,0.920733377617158
2020-04-02,228.21884662172496,0.05377163411947261,3.770878236611585,1.1216870955424592
2020-04-03,284.9613191369128,0.06531953648711225,4.617964145145981,1.3721826344493218
2020-04-04,355.57941507818725,0.07964232949526862,5.67744089004968,1.684985583397634
2020-04-05,443.2016354066615,0.09747345348080416,7.002353594002089,2.075696628096611
2020-04-06,551.9577353780695,0.11971429810563083,8.657388961649369,2.5633594814227636
2020-04-07,688.5324724887558,0.1474691823777079,10.722516878874831,3.171522091195559
2020-04-08,860.5994939026198,0.18209981896600635,13.300245764666208,3.930329054405043
2020-04-09,1073.700152676805,0.2253155023116311,16.520663095534882,4.878006569579614
2020-04-10,1337.3152474960582,0.2792666628375382,20.541675925845652,6.061007596541297
2020-04-11,1664.0268758962843,0.3466155127917314,25.555244061251347,7.535858063331446
2020-04-12,2068.527012894323,0.43063130941643246,31.798317131290975,9.372345890837659
2020-04-13,2560.7211801288136,0.5353357140041273,39.559909486291225,11.655644970897672
2020-04-14,3156.161302437615,0.6656426888743407,49.179009981736115,14.48587075404754
2020-04-15,3870.440101781688,0.8274445898793519,61.04796160803104,17.979184180292474
2020-04-16,4700.100900191397,1.0276886859750176,75.6173040605534,22.26930970834904
2020-04-17,5536.726906218645,1.2744106583146584,93.31792268099596,27.485684048992496
2020-04-18,6320.3562016074475,1.575991736129601,114.3369021220032,33.69005221564245
2020-04-19,7069.008052579766,1.9391239856507134,138.56727859514973,40.86163307409933
2020-04-20,7822.62689415322,2.367179714818443,165.74678640181526,48.93532015337707
