Model parameters used:
country, #general beds, #critical beds, controls start, controls end, R reduction during intervention, R reduction after intervention
Ecuador,36412,1050,2020-03-13,2020-08-15,67.57062146892655%,0%

Model output:
date,est. current infections,est. deaths,est. hospital bed usage,est. critical bed usage
2020-03-21,19.18798226094821,0.005025985079292316,0.3950505399869511,0.10902194890300072
2020-03-22,23.705448061890586,0.006244202234812445,0.4731557972951283,0.13360447405396292
2020-03-23,29.274805776656002,0.007698853503194235,0.5679706464181312,0.16315261888800256
2020-03-24,36.152900935105684,0.009441312302223087,0.68348645932587,0.198804966812171
2020-03-25,44.43124597657241,0.011536089392870867,0.8245885137942278,0.24197244311244567
2020-03-26,53.58675109062088,0.014063104095197912,0.9965616153773756,0.2941990707462533
2020-03-27,64.04247510299061,0.017114397641216486,1.2038659438657355,0.35681431921148776
2020-03-28,77.52996091195175,0.020784875123273622,1.451498554495737,0.4313168813566026
2020-03-29,95.15113976954854,0.025178095901513306,1.7482289370383726,0.5202917334692829
2020-03-30,117.75216694125231,0.030433006782947414,2.107614064009416,0.6277041169700528
2020-03-31,146.54041462812157,0.03674963704199835,2.547964432484164,0.7589012839053636
2020-04-01,182.79198168733026,0.04440604287458216,3.0927220617566755,0.920733377617158
2020-04-02,228.21884662172496,0.05377163411947261,3.770878236611585,1.1216870955424592
2020-04-03,284.9613191369128,0.06531953648711225,4.617964145145981,1.3721826344493218
2020-04-04,355.57941507818725,0.07964232949526862,5.67744089004968,1.684985583397634
2020-04-05,443.2016354066615,0.09747345348080416,7.002353594002089,2.075696628096611
2020-04-06,551.9577353780695,0.11971429810563083,8.657388961649369,2.5633594814227636
2020-04-07,688.5324724887558,0.1474691823777079,10.722516878874831,3.171522091195559
2020-04-08,860.5994939026198,0.18209981896600635,13.300245764666208,3.930329054405043
2020-04-09,1073.700152676805,0.2253155023116311,16.520663095534882,4.878006569579614
2020-04-10,1337.3152474960582,0.2792666628375382,20.541675925845652,6.061007596541297
2020-04-11,1664.0268758962843,0.3466155127917314,25.555244061251347,7.535858063331446
2020-04-12,2068.527012894323,0.43063130941643246,31.798317131290975,9.372345890837659
2020-04-13,2560.7211801288136,0.5353357140041273,39.559909486291225,11.655644970897672
2020-04-14,3156.161302437615,0.6656426888743407,49.179009981736115,14.48587075404754
2020-04-15,3870.440101781688,0.8274445898793519,61.04796160803104,17.979184180292474
2020-04-16,4700.100900191397,1.0276886859750176,75.6173040605534,22.26930970834904
2020-04-17,5536.726906218645,1.2744106583146584,93.31792268099596,27.485684048992496
2020-04-18,6320.3562016074475,1.575991736129601,114.3369021220032,33.69005221564245
2020-04-19,7069.008052579766,1.9391239856507134,138.56727859514973,40.86163307409933
2020-04-20,7822.62689415322,2.367179714818443,165.74678640181526,48.93532015337707
2020-04-21,8627.061491646062,2.8602174098619138,195.6123043531733,57.84447019874393
2020-04-22,9516.95084005948,3.4162149022577832,228.0155533092507,67.55321209476756
2020-04-23,10476.622851560294,4.032753046584933,262.95413801703126,78.06535797474002
2020-04-24,11500.544630969815,4.708273059708009,300.5005666345187,89.40481064670098
2020-04-25,12582.58258145055,5.442386149305278,340.7555434365707,101.60284678974243
2020-04-26,13739.277203535343,6.235679189542942,383.8284801835506,114.69297041180435
2020-04-27,14997.687785632315,7.0894670202100585,429.8663928105928,128.7193259289461
2020-04-28,16381.457372992403,8.005852762787185,479.09889249857355,143.7496481986821
2020-04-29,17867.876689019584,8.988098378734222,531.8419469766584,159.87662912126103
2020-04-30,19433.842506789533,10.040819242225822,588.4137436264557,177.19443917302144
2020-05-01,21073.1509947557,11.16949764452275,649.072796895572,195.7813546150288
2020-05-02,22790.082238895004,12.379706025180283,714.0156249651445,215.6989960874545
2020-05-03,24581.9013232741,13.676585407194025,783.3969176732171,236.9978005412037
2020-05-04,26451.462537091676,15.06465248709955,857.3363503444466,259.71869661390673
2020-05-05,28404.530050043504,16.547754781930195,935.9334467386764,283.8970827689382
2020-05-06,30431.911517543092,18.12916113668939,1019.2829171751081,309.56699960564856
2020-05-07,32485.271736241015,19.81170631526325,1107.4411536183536,336.75153892366745
2020-05-08,34535.41062766839,21.597573864259118,1200.3399760035281,365.4382654465764
2020-05-09,36565.06304332611,23.487552303324662,1297.7633803175204,395.5722838966186
2020-05-10,38547.009369170715,25.480367488578906,1399.362891868224,427.0600967936888
2020-05-11,40426.09180307608,27.57234338637545,1504.647863659958,459.7663318898492
2020-05-12,42141.18794321176,29.757073609478596,1612.923284609678,493.4955632581392
2020-05-13,43705.19031736028,32.02475546447204,1723.2656304669756,527.9847923760793
2020-05-14,45161.34701537551,34.36171215875112,1834.6622465968744,562.9422522386762
2020-05-15,46501.7464636869,36.751150295178604,1946.1600802071282,598.0891882533481
2020-05-16,47695.140928965615,39.17470789476596,2056.8646829789145,633.1596671014646
2020-05-17,48721.22376297468,41.61346695546098,2165.8859375526445,667.8855374358799
2020-05-18,49545.71750317649,44.048209077224556,2272.3155095233233,701.9904061208123
2020-05-19,50111.29843115355,46.45934121517348,2375.175022018859,735.1752154463509
2020-05-20,50445.48151059123,48.826418628312354,2473.368835625079,767.1049424640668
2020-05-21,50615.77458349824,51.12764510664363,2565.825368940218,797.4487023192492
2020-05-22,50634.44808133149,53.34063123540477,2651.6610201160834,825.92651189402
2020-05-23,50507.78825477855,55.4440487381014,2730.186969348518,852.3118587481587
2020-05-24,50240.823282216814,57.418806962037024,2800.8788285260025,876.4239575582642
2020-05-25,49834.79287292439,59.24856487357931,2863.350822024533,898.1213160271714
2020-05-26,49272.0904805506,60.91982820553403,2917.31424356901,917.2907252934399
2020-05-27,48589.737370044546,62.421655711374456,2962.530982976763,933.8346491752527
2020-05-28,47860.07848812245,63.74522285776857,2998.892815806412,947.6942028938846
2020-05-29,47121.25015208708,64.88415904068279,3026.5350098387576,958.8819540691525
2020-05-30,46386.637644600945,65.83557327061772,3045.838859429259,967.4833353940543
2020-05-31,45662.22922065614,66.60074196351707,3057.3661474061155,973.6387686036076
2020-06-01,44933.03561089566,67.18501745773119,3061.7860711599888,977.5234985671095
2020-06-02,44170.43958615046,67.5971677451148,3059.7740529371067,979.319123772432
2020-06-03,43397.00920477293,67.84813949367094,3051.932749966408,979.1910417308118
2020-06-04,42666.828656138794,67.9497506108089,3038.8508965398337,977.304824757685
2020-06-05,41990.34123365718,67.91431147599087,3021.1967169012864,973.8524103762891
2020-06-06,41357.8929967133,67.75502075691224,2999.6955680291067,969.0454509127923
2020-06-07,40757.01794161033,67.48607079630779,2975.0624592318486,963.0958543745089
2020-06-08,40174.19052764932,67.12219573343327,2947.9511591282817,956.2009533623554
2020-06-09,39582.940805981,66.67796838425784,2918.9111489611323,948.5307510161842
2020-06-10,38995.706840237784,66.16699197620392,2888.3569176952346,940.2185246679549
2020-06-11,38420.979424408,65.60122075781919,2856.6184278887763,931.3745059624935
2020-06-12,37863.639883724165,64.99088088308099,2823.981078509608,922.096647685371
2020-06-13,37318.74178921712,64.34473992960329,2790.699327854305,912.4740384260549
2020-06-14,36784.574515251144,63.670382680153125,2756.989915889499,902.5846358547267
2020-06-15,36251.504428829816,62.97435125897573,2723.030647188004,892.4946764608674
2020-06-16,35696.844997243534,62.262200588540054,2688.9401619701516,882.2527001447903
2020-06-17,35126.617597676784,61.538357754659955,2654.7483925626366,871.8808984126708
2020-06-18,34580.31684826863,60.80587470677119,2620.4482276791546,861.3896467792996
2020-06-19,34069.25008361013,60.06669431671389,2586.0884861852833,850.803969558567
2020-06-20,33593.824735854534,59.32247867777187,2551.7848824244684,840.1668029405392
2020-06-21,33147.936536849724,58.57524378663766,2517.69369893672,829.531750494726
2020-06-22,32716.634380682743,57.82755436700927,2483.975986737439,818.9531378850043
2020-06-23,32275.856734521483,57.08234311720889,2450.752354751409,808.4732762169234
2020-06-24,31817.792614800575,56.34242319553914,2418.0567580634543,798.1092666502788
2020-06-25,31383.040804776785,55.60985474835934,2385.861560592187,787.8600286528643
2020-06-26,30981.39724225151,54.88580059742435,2354.17887741393,777.7351575926515
2020-06-27,30603.796846151807,54.171131446736126,2323.0724677002486,767.7583605619
2020-06-28,30244.445299490624,53.46692188190082,2292.6204207832848,757.9569303507724
2020-06-29,29895.099985738714,52.774497930302914,2262.8907938900156,748.3549165171552
2020-06-30,29544.327004329596,52.0952571548828,2233.9233936113933,738.9679819575315
2020-07-01,29184.00538889832,51.43039889186002,2205.7064179988506,729.7966963190468
2020-07-02,28859.99364416798,50.780587161812036,2178.1973579194578,720.8324246122933
2020-07-03,28572.066163606396,50.145986734003145,2151.4185919959086,712.0846592952906
2020-07-04,28317.391644296164,49.52690527311461,2125.4463646278887,703.5779753120061
2020-07-05,28087.296755873984,48.92417398997304,2100.3798130037026,695.3433521439864
2020-07-06,27874.80721710719,48.33913259212204,2076.3085041704294,687.4090312215551
2020-07-07,27670.31843348485,47.77336740679175,2053.2985095185604,679.7965914025194
2020-07-08,27437.859495271117,47.22840962022565,2031.3584846281256,672.511188459713
2020-07-09,27212.572341567447,46.705244191691236,2010.4046200695432,665.5313347736683
2020-07-10,27002.777969112583,46.20386938611591,1990.355838030094,658.8359617534242
2020-07-11,26804.00390848916,45.72363973634947,1971.161012874533,652.412107768688
2020-07-12,26610.744123335728,45.2637249341733,1952.7809453182958,646.2497638882803
2020-07-13,26425.423035068656,44.82327334589536,1935.1736649979357,640.3377163571147
2020-07-14,26245.726889467798,44.401415201770305,1918.3043612568456,634.6664537348476
2020-07-15,26034.73410073128,43.997310334863414,1902.120619843255,629.2211126161748
2020-07-16,25829.183376509085,43.609938751925256,1886.5053934436087,623.9679587205683
2020-07-17,25641.164957581197,43.237762386895156,1871.3684893563568,618.8805716651898
2020-07-18,25463.832370528035,42.87909843816942,1856.6725786285747,613.9473387303382
2020-07-19,25289.10401929698,42.53257056942539,1842.4019669323338,609.1626235156593
2020-07-20,25123.814341866768,42.197171903850176,1828.5390333015032,604.5201330847556
2020-07-21,24975.239856090113,41.87214437419652,1815.0842761084555,600.0187667277054
2020-07-22,24802.565688077848,41.557027959590414,1802.0469917011114,595.6600220209942
2020-07-23,24614.58329988931,41.25153911833786,1789.369298147944,591.4261859111562
2020-07-24,24423.93981207842,40.9550360132489,1776.961801108671,587.2904740899975
2020-07-25,24233.681166695325,40.66640132595876,1764.7471338733583,583.2294216313458
2020-07-26,24041.370265799025,40.38429669890047,1752.6665150983574,579.2247281040306
2020-07-27,23852.299974093177,40.10738762661549,1740.671893098292,575.2610248652958
2020-07-28,23668.292937405,39.83444783920095,1728.7388671747551,571.3296462359195
2020-07-29,23454.39961119642,39.564499860765864,1716.8459512704626,567.4227453483777
2020-07-30,23239.194844120015,39.29668809389386,1704.9199068486519,563.5175954239961
2020-07-31,23037.546346302315,39.02991876042506,1692.9069991329727,559.5970312676073
2020-08-01,22850.99752343994,38.76308943542426,1680.8069281329972,555.6592240553205
2020-08-02,22675.1573304585,38.495507149175864,1668.658631781271,551.7137169039639
2020-08-03,22502.417647567512,38.227050920210786,1656.5146523150986,547.7741934514601
2020-08-04,22322.65145553042,37.95806411781268,1644.4145421359963,543.8509156310934
2020-08-05,22133.909273474335,37.6890722316748,1632.3652605567809,539.9450802616655
2020-08-06,21938.141334765656,37.42045811121989,1620.3468491687536,536.0503654176485
2020-08-07,21737.725570818664,37.15230123634774,1608.3266632191771,532.1569098029161
2020-08-08,21534.456980086816,36.88438073492034,1596.270955792634,528.2545485628743
2020-08-09,21329.458578257992,36.616278519031766,1584.1509338920646,524.3345006286102
2020-08-10,21123.349987400805,36.34749624585129,1571.9448781672797,520.3899622314418
2020-08-11,20916.460078732107,36.07752833009545,1559.6383178538192,516.416164458635
2020-08-12,20708.958189041496,35.80594758089501,1547.22264004317,512.4099993478924
